code,lat,lon
MYNN,25.0387,-77.4668
MYGF,26.5587,-78.6955
KMIA,25.7962,-80.2897
KFPR,27.4975,-80.3726
KTTS,28.6149,-80.6944
KSFB,28.7763,-81.2349
KDAB,29.1799,-81.056
KJAX,30.493,-81.6883
KSAV,32.1274,-81.2019
KCHS,32.8981,-80.0406
KMYR,33.6797,-78.9283
KCAE,33.9388,-81.1194
KGSP,34.8957,-82.2189
KCLT,35.2138,-80.9485
KFAY,34.9906,-78.8803
KRDU,35.8759,-78.7856
KGSO,36.1006,-79.9418
KROA,37.3252,-79.9755
KRIC,37.5047,-77.3202
KORF,36.8942,-76.2022
KMQI,35.919,-75.6954
KWAL,37.9404,-75.4663
KDCA,38.8514,-77.0377
KMTN,39.3257,-76.4138
KMDT,40.1932,-76.7626
KPHL,39.8741,-75.2368
KEWR,40.6936,-74.1686
KACY,39.4575,-74.5777
KABE,40.6522,-75.4405
KJFK,40.6401,-73.7765
KISP,40.7962,-73.0995
KBDL,41.9389,-72.6828
KPVD,41.7228,-71.4274
KACK,41.2529,-70.0592
KBOS,42.363,-71.0068
KMHT,42.9331,-71.4361
KPWM,43.6457,-70.3083
KBGR,44.8075,-68.8282
CYFC,45.8679,-66.5338
CYCH,47.0072,-65.4476
KPQI,46.6887,-68.0443
CYQB,46.7896,-71.3926
CYUL,45.4675,-73.7438
CYOW,45.3227,-75.6718
KBTV,44.4713,-73.153
KALB,42.7491,-73.8017
KSYR,43.1114,-76.106
KROC,43.1193,-77.6705
KBUF,42.9405,-78.7306
CYYZ,43.6761,-79.6277
CYQA,44.9713,-79.3049
CYTA,45.8644,-77.2515
CYYB,46.3636,-79.4246
CYUY,48.2062,-78.8356
CYSB,46.6264,-80.7981
CYLD,47.8202,-83.3469
CYAM,46.4843,-84.5082
CYXZ,47.9667,-84.7867
CYSP,48.7553,-86.3444
CYQT,48.3722,-89.3242
CYIB,48.774,-91.6387
KDLH,46.8422,-92.1912
KMSP,44.8819,-93.222
KLSE,43.8788,-91.2562
KGRB,44.4848,-88.1295
KMKE,42.9479,-87.8965
KMSN,43.1403,-89.337
KOSH,43.9863,-88.5564
KORD,41.9734,-87.9066
KSBN,41.7092,-86.318
KGRR,42.8822,-85.5239
KTVC,44.7418,-85.5828
KAPN,45.0783,-83.5598
KMBS,43.5327,-84.0798
KLAN,42.7791,-84.5857
KFNT,42.9656,-83.7448
KDTW,42.2122,-83.3526
KCLE,41.4103,-81.8534
KPIT,40.4914,-80.2317
KCAK,40.9152,-81.4435
KTOL,41.5868,-83.8078
KFWA,40.9785,-85.1952
KDAY,39.9022,-84.2194
KCMH,39.9969,-82.8922
KCRW,38.3759,-81.593
KTRI,36.4759,-82.4064
KAVL,35.4362,-82.5418
KTYS,35.8095,-83.9958
KCHA,35.0357,-85.2035
KATL,33.6366,-84.428
KBHM,33.5638,-86.7513
KHSV,34.6374,-86.7741
KBNA,36.1245,-86.6782
KEVV,38.0401,-87.5297
KSDF,38.1746,-85.7356
KLEX,38.0374,-84.6092
KCVG,39.0495,-84.6683
KIND,39.7182,-86.2928
KCMI,40.0386,-88.278
KSPI,39.8441,-89.6783
KSTL,38.749,-90.3704
KPIA,40.6638,-89.6921
KMLI,41.4481,-90.5078
KCID,41.8847,-91.7103
KDSM,41.534,-93.6631
KIRK,40.0951,-92.546
KMCI,39.2972,-94.7134
KCOU,38.819,-92.2196
KSGF,37.2456,-93.3884
KXNA,36.2819,-94.3068
KFSM,35.337,-94.3672
KLIT,34.7296,-92.2259
KMEM,35.0427,-89.9766
KGTR,33.4483,-88.5914
KJAN,32.3112,-90.0759
KMLU,32.5112,-92.0367
KSHV,32.447,-93.8254
KLFK,31.2338,-94.7501
KIAH,29.9854,-95.3412
KLCH,30.1268,-93.2234
KLFT,30.205,-91.988
KSCF,29.1170,-91.8670
KGHB,27.83,-91.98
KGRY,27.6250,-90.4410
KDLP,29.121,-89.547
KDSF,28.34259,-88.2649
KMSY,29.9933,-90.2574
KBTR,30.5329,-91.1493
KGPT,30.4077,-89.0692
KMOB,30.6908,-88.2413
KPNS,30.4734,-87.1866
KECP,30.3582,-85.7956
KTLH,30.3971,-84.3514
KCTY,29.6355,-83.1048
KTPA,27.9749,-82.5319
KSRQ,27.3954,-82.554
KRSW,26.5362,-81.7552
KEYW,24.5561,-81.7599
NULL,0,0
NULL,0,0
NULL,0,0
NULL,0,0
NULL,0,0
NULL,0,0
NULL,0,0
NULL,0,0
NULL,0,0
NULL,0,0
NULL,0,0
NULL,0,0
